flux_density	hall_voltage	sample_voltage
0.1	2.0	1.46
21.0	7.5	1.46
30.0	9.9	1.46
40.5	12.5	1.46
51.3	15.3	1.46
59.5	17.4	1.46
69.0	19.8	1.46
79.5	22.5	1.47
89.5	25.0	1.47
100.5	27.7	1.47
111.0	30.2	1.47
120.0	32.4	1.47
130.8	35.0	1.48
140.2	37.3	1.48
150.0	39.5	1.48
160.5	41.9	1.48
170.0	44.1	1.48
180.6	46.5	1.49
190.3	48.6	1.49
200.7	50.8	1.49
210.3	52.9	1.50
220.0	54.9	1.50
230.0	57.0	1.50
240.5	59.2	1.51
250.5	61.3	1.51
261.0	63.3	1.51
270.0	65.1	1.52
279.5	66.9	1.52
290.0	68.9	1.52
300.0	70.8	1.53
